Ítem (ITEM),Coste (COST),Descripción (DESCRIPTION)
Herramientas Varias (Assorted Tools),20cr,"Llaves inglesas, llaves de tuercas, destornilladores, etc. Puede usarse como arma en un apuro (1d5 DMG)."
Automed (x5) (Automed (x5)),1.5kcr,"Píldoras nanotecnológicas que ayudan a tu cuerpo a reparar Daño otorgando Ventaja (Advantage) a Salvaciones Corporales (Body Saves) destinadas a repeler enfermedades y veneno, así como a los intentos de curarse con descanso."
Batería (Alta Potencia) (Battery (High Power)),500cr,"Batería de servicio pesado utilizada para alimentar cortadoras láser, drones de salvamento y otros ítems. Se puede recargar en 1 hora si se conecta a una fuente de energía o en 6 horas con energía solar. Añadir impermeabilización (+500cr)."
Prismáticos (Binoculars),150cr,Aumento de 20x. Añadir visión nocturna (+300cr) o visión térmica (+1kcr).
Bioscáner (Bioscanner),3kcr,"Alcance Largo (Long Range). Permite al usuario escanear señales de vida. Puede indicar la ubicación de las señales de vida, pero no qué tipo de vida es. Bloqueado por algunos materiales a discreción del Guardián (Warden)."
Cámara Corporal (Body Cam),50cr,Una cámara que se lleva en la ropa y puede transmitir video a un centro de control para que otros miembros de la tripulación puedan ver lo que ves. Añadir visión nocturna (+300cr) o visión térmica (+1kcr).
Barra Química Luminosa (x5) (Chemlight (x5)),5cr,Pequeñas barras luminosas desechables capaces de iluminación tenue en un radio de 1m.
Palanca (Crowbar),25cr,"Otorga Ventaja (Advantage) en Chequeos de Fuerza (Strength Checks) para abrir esclusas atascadas, levantar objetos pesados, etc."
Escáner de Diagnóstico Cibernético (Cybernetic Diagnostic Scanner),2kcr,Permite al usuario escanear androides y otros organismos cibernéticos para diagnosticar cualquier problema físico o mental que puedan tener. A menudo desconfiado por los androides.
Juego de Herramientas Electrónicas (Electronic Tool Set),100cr,Un juego completo de herramientas para realizar trabajos detallados de reparación o construcción en electrónica.
Baliza de Emergencia (Emergency Beacon),2kcr,"Un pequeño dispositivo que lanza una bengala y luego emite un fuerte pitido cada pocos segundos. Además, envía una llamada a todos los canales de radio a naves o vehículos en el área, pero puede ser bloqueado por un inhibidor de radio."
Exocargador (Exoloader),100kcr,Exoesqueloto mecánico al aire libre utilizado para levantamiento pesado (hasta 5000kg). Las garras de carga infligen 1 Herida (Wound). El usuario solo puede llevar Atuendo Estándar de Tripulante o Uniforme de Combate Estándar mientras opera. Funciona con batería (48 horas de uso).
Explosivos y Detonador (Explosives & Detonator),500cr,"Carga explosiva lo suficientemente potente como para abrir una esclusa. Todos los organismos en Alcance Cerca (Close Range) deben hacer una Salvación Corporal (Body Save) o recibir una Herida (Explosiva). El detonador funciona a Alcance Largo (Long Range), pero puede ser bloqueado por un inhibidor de radio."
Botiquín de Primeros Auxilios (First Aid Kit),75cr,"Un surtido de apósitos y tratamientos para ayudar a detener el sangrado, vendar cortes y tratar otras lesiones menores."
Linterna (Flashlight),30cr,De mano o montada en el hombro. Ilumina 10m delante del usuario.
Camilla Plegable (Foldable Stretcher),150cr,Camilla portátil que cabe dentro de una mochila. Permite al usuario sujetar de forma segura al paciente y llevarlo a un lugar donde sus heridas puedan ser mejor tratadas. Se despliega a aproximadamente 2m.
Contador Geiger (Geiger Counter),20cr,Detecta radiación y muestra los niveles de radiación.
Pantalla de Visualización Frontal (HUD) (Heads-Up Display (HUD)),100cr,"A menudo usado por marines, el HUD permite al usuario ver a través de las cámaras corporales (body cams) de otros en su unidad, y conectarse a cualquier arma mejorada con enlace inteligente (smart-link)."
Gafas Infrarrojas (Infrared Goggles),1.5kcr,"Permite al usuario ver firmas de calor, a veces de hasta varias horas de antigüedad. Añadir visión nocturna (+300cr)."
Mochila Propulsora (Jetpack),75kcr,Permite al usuario volar hasta 100m de altura y hasta una velocidad de 100km/hr durante 2 horas con un tanque de combustible. Inflige 1d100[+] DMG si es destruida. El combustible se puede rellenar por 200cr.
Juego de Ganzúas (Lockpick Set),40cr,Un juego de herramientas altamente avanzado destinado a hackear esclusas básicas y sistemas de puertas electrónicas.
Comunicaciones de Largo Alcance (Long-range Comms),1kcr,Dispositivo de comunicación del tamaño de una mochila para uso en comunicación de superficie a nave.
Botas Magnéticas (Magboots),350cr,"Otorga un agarre magnético al usuario, permitiéndole caminar fácilmente por el exterior de una nave (en el espacio, acoplada o a la deriva), asteroides de base metálica o cualquier otra superficie magnética."
Mediscaner (Medscanner),8kcr,"Permite al usuario escanear un cuerpo vivo o muerto para analizarlo en busca de enfermedades o anomalías, sin necesidad de realizar una biopsia o autopsia. Los resultados pueden no ser instantáneos y pueden requerir un laboratorio para un análisis completo."
Unidad MoHab (MoHab Unit),1kcr,"Tienda de campaña, cantimplora, estufa, mochila, brújula y saco de dormir."
MRE (x7) (MRE (x7)),70cr,"""Ración, Lista para Comer."" Raciones de campo individuales y autocontenidas en embalaje ligero. Cada una tiene sustento suficiente para una sola persona durante un día (no incluye agua)."
Manta Mylar (Mylar Blanket),10cr,Manta ligera hecha de material reflectante de calor. A menudo utilizada para la regulación térmica de pacientes que sufren frío extremo u otro trauma.
Tanque de Oxígeno (Oxygen Tank),50cr,"Cuando se conecta a un traje de vacío (vaccsuit), proporciona hasta 12 horas de oxígeno en circunstancias normales, 4 horas en circunstancias estresantes. Explosivo."
Paracord (50m) (Paracord (50m)),10cr,Cuerda de nailon ligera de uso general.
Kit de Parches (x3) (Patch Kit (x3)),200cr,"Repara trajes de vacío perforados y rasgados, restaurando su aptitud espacial. Los trajes de vacío parcheados tienen un PA (AP) de 1."
Localizador Personal (Personal Locator),200cr,Permite a los miembros de la tripulación en un centro de control (o en el puente de una nave) rastrear la ubicación del usuario.
Mascota (Orgánica) (Pet (Organic)),200kcr,Mascota animal orgánica de tamaño pequeño a mediano. Las mascotas más grandes o raras cuestan 2d10x el coste base de la mascota.
Mascota (Sintética) (Pet (Synthetic)),15kcr,Mascota animal sintética de tamaño pequeño a mediano. Las mascotas más grandes o raras cuestan 2d10x el coste base de la mascota.
Terminal de Computadora Portátil (Portable Computer Terminal),1.5kcr,"Monitor de computadora plano, teclado e interfaz que permite al usuario hackear computadoras y redes preexistentes, así como realizar tareas informáticas estándar."
